district_code,district_name,state,est_violations_fy08_13,est_violations_fy14_19,delta_abs,delta_pct,rank_fy08_13,rank_fy14_19,rank_movement,retrieved_at,source
19,W.D.N.C.,NC,649,409,-240,-37.0,52,56,-4,2026-04-19,derived_from_matrix
40,E.D. Tex.,TX,541,482,-59,-10.9,55,54,1,2026-04-19,derived_from_matrix
14,M.D. Pa.,PA,529,444,-85,-16.1,57,55,2,2026-04-19,derived_from_matrix
80,E.D. Wash.,WA,534,341,-193,-36.1,56,62,-6,2026-04-19,derived_from_matrix
06,N.D.N.Y.,NY,488,379,-109,-22.3,61,59,2,2026-04-19,derived_from_matrix
74,S.D. Cal.,CA,365,398,33,9.0,62,57,5,2026-04-19,derived_from_matrix
09,W.D.N.Y.,NY,498,206,-292,-58.6,59,69,-10,2026-04-19,derived_from_matrix
3L,E.D. La.,LA,324,380,56,17.3,66,58,8,2026-04-19,derived_from_matrix
58,W.D. Wis.,WI,360,324,-36,-10.0,63,64,-1,2026-04-19,derived_from_matrix
01,D. Massachusetts,MA,342,329,-13,-3.8,64,63,1,2026-04-19,derived_from_matrix
46,W.D. Mich.,MI,325,321,-4,-1.2,65,65,0,2026-04-19,derived_from_matrix
76,D. Idaho,ID,285,194,-91,-31.9,67,70,-3,2026-04-19,derived_from_matrix
08,S.D.N.Y.,NY,177,229,52,29.4,68,66,2,2026-04-19,derived_from_matrix
11,D. Delaware,DE,158,207,49,31.0,70,68,2,2026-04-19,derived_from_matrix
07,E.D.N.Y.,NY,107,215,108,100.9,74,67,7,2026-04-19,derived_from_matrix
3N,M.D. La.,LA,165,109,-56,-33.9,69,72,-3,2026-04-19,derived_from_matrix
02,D. New Hampshire,NH,119,88,-31,-26.1,72,76,-4,2026-04-19,derived_from_matrix
63,S.D. Iowa,IA,112,94,-18,-16.1,73,74,-1,2026-04-19,derived_from_matrix
05,D. Connecticut,CT,86,117,31,36.0,78,71,7,2026-04-19,derived_from_matrix
85,N.D. Okla.,OK,146,50,-96,-65.8,71,80,-9,2026-04-19,derived_from_matrix
75,D. Hawaii,HI,95,97,2,2.1,75,73,2,2026-04-19,derived_from_matrix
84,D.N.M.,NM,92,77,-15,-16.3,77,77,0,2026-04-19,derived_from_matrix
03,D. Rhode Island,RI,62,89,27,43.5,82,75,7,2026-04-19,derived_from_matrix
86,E.D. Okla.,OK,95,43,-52,-54.7,76,82,-6,2026-04-19,derived_from_matrix
00,D. Maine,ME,72,55,-17,-23.6,80,79,1,2026-04-19,derived_from_matrix
29,N.D. Fla.,FL,67,56,-11,-16.4,81,78,3,2026-04-19,derived_from_matrix
24,N.D.W. Va.,WV,78,44,-34,-43.6,79,81,-2,2026-04-19,derived_from_matrix
25,S.D.W. Va.,WV,55,37,-18,-32.7,83,85,-2,2026-04-19,derived_from_matrix
69,D.S.D.,SD,53,36,-17,-32.1,84,86,-2,2026-04-19,derived_from_matrix
77,D. Mont.,MT,46,40,-6,-13.0,86,84,2,2026-04-19,derived_from_matrix
62,N.D. Iowa,IA,37,40,3,8.1,89,83,6,2026-04-19,derived_from_matrix
10,D. Vermont,VT,45,24,-21,-46.7,88,87,1,2026-04-19,derived_from_matrix
89,D. Wyo.,WY,46,19,-27,-58.7,87,89,-2,2026-04-19,derived_from_matrix
68,D.N.D.,ND,46,18,-28,-60.9,85,90,-5,2026-04-19,derived_from_matrix
90,D.D.C.,DC,26,21,-5,-19.2,90,88,2,2026-04-19,derived_from_matrix
7-,D. Alaska,AK,8,6,-2,-25.0,91,91,0,2026-04-19,derived_from_matrix
93,D. Guam,GU,0,2,2,,93,92,1,2026-04-19,derived_from_matrix
91,D.V.I.,VI,0,0,0,,92,93,-1,2026-04-19,derived_from_matrix
94,D.N. Mar. I.,MP,0,0,0,,94,94,0,2026-04-19,derived_from_matrix
