rank,district_code,district_name,state,total_filed_fy08_19,prior_discharged_fy08_19,est_violations_fy08_19,violations_per_1000_filings,period,retrieved_at,source
53,14,M.D. Pa.,PA,28373,2267,973,34.29,FY2008-2019,2026-04-19,derived_from_matrix
54,46,W.D. Mich.,MI,18877,1503,646,34.22,FY2008-2019,2026-04-19,derived_from_matrix
55,09,W.D.N.Y.,NY,20662,1636,704,34.07,FY2008-2019,2026-04-19,derived_from_matrix
56,15,W.D. Pa.,PA,33690,2664,1145,33.99,FY2008-2019,2026-04-19,derived_from_matrix
57,52,N.D. Ill.,IL,200100,15779,6781,33.89,FY2008-2019,2026-04-19,derived_from_matrix
58,41,S.D. Tex.,TX,78049,5800,2494,31.95,FY2008-2019,2026-04-19,derived_from_matrix
59,51,W.D. Tenn.,TN,145979,10688,4597,31.49,FY2008-2019,2026-04-19,derived_from_matrix
60,3L,E.D. La.,LA,22599,1639,704,31.15,FY2008-2019,2026-04-19,derived_from_matrix
61,17,E.D.N.C.,NC,63930,4542,1953,30.55,FY2008-2019,2026-04-19,derived_from_matrix
62,78,D. Nev.,NV,42207,2975,1278,30.28,FY2008-2019,2026-04-19,derived_from_matrix
63,10,D. Vermont,VT,2290,161,69,30.13,FY2008-2019,2026-04-19,derived_from_matrix
64,12,D. New Jersey,NJ,97602,6760,2908,29.79,FY2008-2019,2026-04-19,derived_from_matrix
65,40,E.D. Tex.,TX,34564,2379,1023,29.6,FY2008-2019,2026-04-19,derived_from_matrix
66,75,D. Hawaii,HI,6516,449,192,29.47,FY2008-2019,2026-04-19,derived_from_matrix
67,25,S.D.W. Va.,WV,3127,215,92,29.42,FY2008-2019,2026-04-19,derived_from_matrix
68,3N,M.D. La.,LA,9334,639,274,29.36,FY2008-2019,2026-04-19,derived_from_matrix
69,39,N.D. Tex.,TX,95078,6408,2754,28.97,FY2008-2019,2026-04-19,derived_from_matrix
70,00,D. Maine,ME,4527,296,127,28.05,FY2008-2019,2026-04-19,derived_from_matrix
71,72,E.D. Cal.,CA,67918,4419,1901,27.99,FY2008-2019,2026-04-19,derived_from_matrix
72,71,N.D. Cal.,CA,86744,5635,2422,27.92,FY2008-2019,2026-04-19,derived_from_matrix
73,77,D. Mont.,MT,3220,203,86,26.71,FY2008-2019,2026-04-19,derived_from_matrix
74,74,S.D. Cal.,CA,30047,1772,763,25.39,FY2008-2019,2026-04-19,derived_from_matrix
75,16,D. Maryland,MD,67196,3902,1677,24.96,FY2008-2019,2026-04-19,derived_from_matrix
76,70,D. Ariz.,AZ,44081,2553,1098,24.91,FY2008-2019,2026-04-19,derived_from_matrix
77,02,D. New Hampshire,NH,8484,480,207,24.4,FY2008-2019,2026-04-19,derived_from_matrix
78,04,D. Puerto Rico,PR,75032,4101,1764,23.51,FY2008-2019,2026-04-19,derived_from_matrix
79,13,E.D. Pa.,PA,51890,2748,1182,22.78,FY2008-2019,2026-04-19,derived_from_matrix
80,45,E.D. Mich.,MI,80321,4254,1829,22.77,FY2008-2019,2026-04-19,derived_from_matrix
81,3A,M.D. Fla.,FL,130215,6764,2909,22.34,FY2008-2019,2026-04-19,derived_from_matrix
82,03,D. Rhode Island,RI,6925,350,151,21.81,FY2008-2019,2026-04-19,derived_from_matrix
83,3C,S.D. Fla.,FL,103996,4956,2131,20.49,FY2008-2019,2026-04-19,derived_from_matrix
84,08,S.D.N.Y.,NY,20849,944,406,19.47,FY2008-2019,2026-04-19,derived_from_matrix
85,29,N.D. Fla.,FL,6752,286,123,18.22,FY2008-2019,2026-04-19,derived_from_matrix
86,90,D.D.C.,DC,2624,111,47,17.91,FY2008-2019,2026-04-19,derived_from_matrix
87,01,D. Massachusetts,MA,40085,1559,671,16.74,FY2008-2019,2026-04-19,derived_from_matrix
88,05,D. Connecticut,CT,13380,478,203,15.17,FY2008-2019,2026-04-19,derived_from_matrix
89,73,C.D. Cal.,CA,193060,6282,2700,13.99,FY2008-2019,2026-04-19,derived_from_matrix
90,7-,D. Alaska,AK,1339,53,14,10.46,FY2008-2019,2026-04-19,derived_from_matrix
91,07,E.D.N.Y.,NY,39340,752,322,8.19,FY2008-2019,2026-04-19,derived_from_matrix
92,93,D. Guam,GU,346,10,2,5.78,FY2008-2019,2026-04-19,derived_from_matrix
93,91,D.V.I.,VI,56,2,0,0.0,FY2008-2019,2026-04-19,derived_from_matrix
94,94,D.N. Mar. I.,MP,8,0,0,0.0,FY2008-2019,2026-04-19,derived_from_matrix
