year,chapter,district,case_count
2008,13,pawbk,3223
2008,13,prbk,5873
2008,13,scbk,4625
2008,13,sdbk,185
2008,13,tnebk,5421
2008,13,tnmbk,4818
2008,13,tnwbk,13117
2008,13,txebk,2627
2008,13,txnbk,7553
2008,13,txsbk,6188
2008,13,txwbk,4271
2008,13,utbk,3195
2008,13,vaebk,6278
2008,13,vawbk,2061
2008,13,vibk,21
2008,13,vtbk,249
2008,13,waebk,1053
2008,13,wawbk,3972
2008,13,wiebk,3113
2008,13,wiwbk,797
2008,13,wvnbk,194
2008,13,wvsbk,263
2008,13,wybk,105
2008,7,akbk,13974
2008,7,almbk,2187
2008,7,alnbk,8106
2008,7,alsbk,1626
2008,7,arebk,4301
2008,7,arwbk,3191
2008,7,azbk,13153
2008,7,cacbk,44235
2008,7,caebk,744
2008,7,canbk,23657
2008,7,casbk,10515
2008,7,cobk,17130
2008,7,ctbk,6122
2008,7,dcbk,2414
2008,7,debk,1558
2008,7,flmbk,26692
2008,7,flnbk,3137
2008,7,flsbk,13785
2008,7,gambk,4358
2008,7,ganbk,22017
2008,7,gasbk,2556
2008,7,gubk,491
2008,7,hibk,1472
2008,7,ianbk,2690
2008,7,iasbk,4555
2008,7,idbk,3993
2008,7,ilcbk,7012
2008,7,ilnbk,27360
2008,7,ilsbk,3378
2008,7,innbk,10945
2008,7,insbk,16984
2008,7,ksbk,6055
2008,7,kyebk,7551
2008,7,kywbk,8301
2008,7,laebk,1693
2008,7,lambk,1106
2008,7,lawbk,3432
2008,7,mabk,12136
2008,7,mdbk,11502
2008,7,mebk,3033
2008,7,miebk,32669
2008,7,miwbk,10680
2008,7,mnbk,13179
2008,7,moebk,8268
2008,7,mowbk,9209
2008,7,msnbk,2845
2008,7,mssbk,3153
2008,7,mtbk,1617
2008,7,ncebk,3681
2008,7,ncmbk,3301
2008,7,ncwbk,4274
2008,7,ndbk,1206
2008,7,nebk,4808
2008,7,nhbk,3394
2008,7,njbk,17670
2008,7,nmbk,3939
2008,7,nmibk,28
2008,7,nvbk,12140
2008,7,nyebk,11867
2008,7,nynbk,8299
2008,7,nysbk,7401
2008,7,nywbk,6722
2008,7,ohnbk,22237
2008,7,ohsbk,17596
2008,7,okebk,1463
2008,7,oknbk,2701
2008,7,okwbk,4393
2008,7,orbk,8862
2008,7,paebk,6761
2008,7,pambk,5956
2008,7,pawbk,9407
2008,7,prbk,2703
2008,7,scbk,3306
2008,7,sdbk,1271
2008,7,tnebk,9468
2008,7,tnmbk,6658
2008,7,tnwbk,5605
2008,7,txebk,3618
2008,7,txnbk,7604
2008,7,txsbk,5705
2008,7,txwbk,5742
2008,7,utbk,5178
2008,7,vaebk,13161
2008,7,vawbk,4755
2008,7,vibk,107
2008,7,vtbk,902
2008,7,waebk,4103
2008,7,wawbk,10664
2008,7,wiebk,10577
2008,7,wiwbk,5766
2008,7,wvnbk,1795
2008,7,wvsbk,2801
2008,7,wybk,656
2009,11,akbk,488
2009,11,almbk,32
2009,11,alnbk,91
2009,11,alsbk,48
2009,11,arebk,28
2009,11,arwbk,33
2009,11,azbk,214
2009,11,cacbk,829
2009,11,caebk,10
2009,11,canbk,164
2009,11,casbk,78
2009,11,cobk,153
2009,11,ctbk,98
2009,11,dcbk,33
2009,11,debk,1248
2009,11,flmbk,530
2009,11,flnbk,30
2009,11,flsbk,221
2009,11,gambk,43
2009,11,ganbk,306
2009,11,gasbk,54
2009,11,gubk,30
2009,11,hibk,20
2009,11,ianbk,7
2009,11,iasbk,13
2009,11,idbk,36
2009,11,ilcbk,20
2009,11,ilnbk,288
2009,11,ilsbk,19
2009,11,innbk,55
2009,11,insbk,96
2009,11,ksbk,70
2009,11,kyebk,38
2009,11,kywbk,47
2009,11,laebk,41
2009,11,lambk,9
2009,11,lawbk,43
2009,11,mabk,159
2009,11,mdbk,182
2009,11,mebk,54
2009,11,miebk,157
2009,11,miwbk,45
2009,11,mnbk,61
2009,11,moebk,25
2009,11,mowbk,58
2009,11,msnbk,21
2009,11,mssbk,29
2009,11,mtbk,18
2009,11,ncebk,108
2009,11,ncmbk,25
2009,11,ncwbk,67
2009,11,ndbk,5
2009,11,nebk,27
2009,11,nhbk,17
2009,11,njbk,299
2009,11,nmbk,28
2009,11,nmibk,3
2009,11,nvbk,343
2009,11,nyebk,209
2009,11,nynbk,45
2009,11,nysbk,1570
2009,11,nywbk,51
2009,11,ohnbk,110
2009,11,ohsbk,84
2009,11,okebk,4
2009,11,oknbk,3
2009,11,okwbk,39
2009,11,orbk,70
2009,11,paebk,129
2009,11,pambk,33
2009,11,pawbk,135
2009,11,prbk,136
2009,11,scbk,93
2009,11,sdbk,11
2009,11,tnebk,46
2009,11,tnmbk,165
2009,11,tnwbk,67
2009,11,txebk,79
2009,11,txnbk,373
2009,11,txsbk,266
2009,11,txwbk,288
2009,11,utbk,59
2009,11,vaebk,176
2009,11,vawbk,37
2009,11,vibk,2
2009,11,vtbk,1
2009,11,waebk,41
2009,11,wawbk,159
2009,11,wiebk,65
2009,11,wiwbk,34
2009,11,wvnbk,8
2009,11,wvsbk,18
2009,11,wybk,13
2009,12,akbk,2
2009,12,almbk,2
2009,12,alnbk,2
2009,12,alsbk,1
2009,12,arebk,7
2009,12,arwbk,7
2009,12,azbk,10
2009,12,cacbk,5
2009,12,canbk,13
2009,12,casbk,3
2009,12,cobk,6
2009,12,ctbk,3
2009,12,dcbk,6
2009,12,debk,4
2009,12,flmbk,27
2009,12,flnbk,7
2009,12,flsbk,3
2009,12,gambk,22
2009,12,ganbk,1
2009,12,gasbk,13
2009,12,hibk,1
2009,12,ianbk,2
2009,12,iasbk,1
2009,12,idbk,8
2009,12,ilcbk,8
2009,12,ilnbk,1
2009,12,ilsbk,3
2009,12,innbk,1
2009,12,insbk,6
2009,12,ksbk,14
2009,12,kyebk,1
2009,12,kywbk,5
2009,12,laebk,1
2009,12,lambk,1
2009,12,lawbk,8
2009,12,mabk,4
2009,12,mebk,1
2009,12,miebk,16
2009,12,miwbk,11
2009,12,mnbk,14
2009,12,moebk,2
2009,12,mowbk,5
2009,12,msnbk,4
2009,12,mssbk,3
2009,12,mtbk,6
2009,12,ncebk,5
2009,12,ncwbk,2
2009,12,ndbk,3
2009,12,nebk,21
2009,12,njbk,1
2009,12,nmbk,1
2009,12,nynbk,17
2009,12,nywbk,4
2009,12,ohnbk,1
2009,12,ohsbk,3
2009,12,okwbk,5
2009,12,orbk,5
2009,12,pawbk,6
2009,12,prbk,18
2009,12,scbk,3
2009,12,sdbk,1
2009,12,tnebk,9
2009,12,tnmbk,2
2009,12,tnwbk,2
2009,12,txebk,1
2009,12,txnbk,4
2009,12,txsbk,4
2009,12,txwbk,2
2009,12,utbk,2
2009,12,vtbk,1
2009,12,waebk,4
2009,12,wawbk,6
2009,12,wiebk,2
2009,12,wiwbk,16
2009,12,wvnbk,1
2009,12,wybk,1
2009,13,akbk,3970
2009,13,almbk,5430
2009,13,alnbk,9240
2009,13,alsbk,4037
2009,13,arebk,4393
2009,13,arwbk,2261
2009,13,azbk,8765
2009,13,cacbk,18841
2009,13,caebk,131
2009,13,canbk,6510
2009,13,casbk,2658
2009,13,cobk,3465
2009,13,ctbk,1046
2009,13,dcbk,448
2009,13,debk,722
2009,13,flmbk,13768
2009,13,flnbk,570
2009,13,flsbk,6390
2009,13,gambk,7090
2009,13,ganbk,16364
2009,13,gasbk,7904
2009,13,gubk,306
2009,13,hibk,464
2009,13,ianbk,147
2009,13,iasbk,509
2009,13,idbk,759
2009,13,ilcbk,2012
2009,13,ilnbk,11201
2009,13,ilsbk,2336
2009,13,innbk,3388
2009,13,insbk,7640
2009,13,ksbk,2793
2009,13,kyebk,2501
2009,13,kywbk,2614
2009,13,laebk,1730
2009,13,lambk,725
2009,13,lawbk,8140
2009,13,mabk,3069
2009,13,mdbk,4843
2009,13,mebk,697
2009,13,miebk,7756
2009,13,miwbk,1527
2009,13,mnbk,2528
2009,13,moebk,3636
2009,13,mowbk,3363
2009,13,msnbk,3073
2009,13,mssbk,3165
2009,13,mtbk,301
2009,13,ncebk,6500
2009,13,ncmbk,2977
2009,13,ncwbk,2214
2009,13,ndbk,144
2009,13,nebk,1820
2009,13,nhbk,555
2009,13,njbk,7128
2009,13,nmbk,367
2009,13,nmibk,4
2009,13,nvbk,5953
2009,13,nyebk,3316
2009,13,nynbk,2635
2009,13,nysbk,1675
2009,13,nywbk,2312
2009,13,ohnbk,6050
2009,13,ohsbk,8283
2009,13,okebk,216
2009,13,oknbk,323
2009,13,okwbk,1516
2009,13,orbk,3490
2009,13,paebk,3713
2009,13,pambk,2587
2009,13,pawbk,2741
2009,13,prbk,6964
2009,13,scbk,4650
2009,13,sdbk,174
2009,13,tnebk,6230
2009,13,tnmbk,5228
2009,13,tnwbk,13391
2009,13,txebk,2728
2009,13,txnbk,8684
2009,13,txsbk,6067
2009,13,txwbk,5209
2009,13,utbk,4447
2009,13,vaebk,7457
2009,13,vawbk,2584
2009,13,vibk,22
2009,13,vtbk,294
2009,13,waebk,1327
2009,13,wawbk,4800
2009,13,wiebk,3456
2009,13,wiwbk,888
2009,13,wvnbk,255
2009,13,wvsbk,253
2009,13,wybk,144
2009,7,akbk,26567
