court,total_cases,dismissed,dismissal_rate
akbk,43236,23326,0.5395
almbk,76821,38526,0.5015
alnbk,97485,59385,0.6092
alsbk,45883,25454,0.5548
arebk,52005,32242,0.62
arwbk,23099,11898,0.5151
azbk,86761,42644,0.4915
cacbk,194786,157438,0.8083
caebk,1287,723,0.5618
canbk,68549,41440,0.6045
casbk,29325,18706,0.6379
cobk,42277,19463,0.4604
ctbk,14063,11294,0.8031
dcbk,4190,1642,0.3919
debk,10363,5317,0.5131
flmbk,134532,78441,0.5831
flnbk,7431,4889,0.6579
flsbk,117381,65919,0.5616
gambk,82599,41554,0.5031
ganbk,222020,162743,0.733
gasbk,80603,40211,0.4989
gubk,2607,1951,0.7484
hibk,6964,3003,0.4312
ianbk,1860,989,0.5317
iasbk,5241,2753,0.5253
idbk,7310,4262,0.583
ilcbk,16939,6763,0.3993
ilnbk,206775,139103,0.6727
ilsbk,20722,9675,0.4669
innbk,39458,22147,0.5613
insbk,74435,32046,0.4305
ksbk,37463,11840,0.316
kyebk,29397,11420,0.3885
kywbk,35610,19917,0.5593
laebk,24830,13200,0.5316
lambk,9220,5569,0.604
lawbk,93750,52993,0.5653
mabk,40733,25097,0.6161
mdbk,68267,48477,0.7101
mebk,8086,4212,0.5209
miebk,82914,44095,0.5318
miwbk,18776,8375,0.446
mnbk,28550,10231,0.3584
moebk,49227,30599,0.6216
mowbk,38946,17058,0.438
msnbk,39414,19282,0.4892
mssbk,42318,25509,0.6028
mtbk,3057,1150,0.3762
ncebk,68497,28719,0.4193
ncmbk,34407,15616,0.4539
ncwbk,25381,12944,0.51
ndbk,1317,433,0.3288
nebk,18918,6469,0.3419
nhbk,6806,4268,0.6271
njbk,102311,63090,0.6166
nmbk,4298,2406,0.5598
nmibk,58,44,0.7586
nvbk,39800,22827,0.5735
nyebk,52213,46305,0.8868
nynbk,21213,8922,0.4206
nysbk,22499,13488,0.5995
nywbk,19586,9079,0.4635
ohnbk,60807,30982,0.5095
ohsbk,84389,35976,0.4263
okebk,2181,969,0.4443
oknbk,4048,2116,0.5227
okwbk,16220,8199,0.5055
orbk,34749,14654,0.4217
paebk,55256,39694,0.7184
pambk,28769,14364,0.4993
pawbk,34780,18734,0.5386
prbk,75299,36893,0.49
scbk,56640,30734,0.5426
sdbk,1895,740,0.3905
tnebk,69358,40606,0.5855
tnmbk,58861,33460,0.5685
tnwbk,160265,127942,0.7983
txebk,36962,24751,0.6696
txnbk,98701,66775,0.6765
txsbk,83217,54564,0.6557
txwbk,56526,35654,0.6308
utbk,61262,39358,0.6425
vaebk,95873,51841,0.5407
vawbk,27608,10228,0.3705
vibk,355,149,0.4197
vtbk,2110,534,0.2531
waebk,12986,5095,0.3923
wawbk,48176,22287,0.4626
wiebk,52889,31409,0.5939
wiwbk,11122,5107,0.4592
wvnbk,2680,1006,0.3754
wvsbk,2848,1248,0.4382
wybk,1802,1036,0.5749
